name,category,severity,priority,risk_score,base_severity,cvss_component,exploitability,class_modifier,exposure_score,compliance_score,category_weight,finding_class,state,resource_name,resource_display_name,project_id,project_display_name,cve_id,cvss_score,observed_in_wild,zero_day,public_ip,compliance_frameworks,compliance_violations,event_time,create_time,description,remediation_script_lang,remediation_script
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-22945,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2024-5535,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-22945,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-36159,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-23806,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
